section,G,beta,campaign,ci_hi_pct,ci_lo_pct,cr2_df,cr2_p,cr2_se,cr2_t,drop,effect_pct,n,response,wcb_B,wcb_p,wcb_t_obs,xvar
alternative_rainfall_windows_station_FE,10,0.0430561228242882,False,41.73947049702284,-13.975642104854414,4.682686258062783,0.3482499021210121,0.041326262572348886,1.0418586183280159,,10.42213065280131,40,Fe,1024,0.345703125,0.9530181031749562,P1_mm
alternative_rainfall_windows_station_FE,10,0.13930225817251712,False,72.52108376849972,10.093667304658505,3.9166895730577997,0.016829826245962676,0.03483703287634013,3.998683202068149,,37.8168306102282,40,TSS,1024,0.060546875,3.469249897687551,P3_mm
alternative_rainfall_windows_station_FE,10,0.10122306117728314,False,45.660980387591366,9.421557865627616,3.9166895730577997,0.010840314711638543,0.02218663218772008,4.562344583028169,,26.247579755989282,40,Turbidity,1024,0.06640625,4.018563771769081,P3_mm
alternative_rainfall_windows_station_FE,10,0.040761681553577185,False,21.388306508975052,-0.6091257981657328,3.9166895730577997,0.05952546588035716,0.015506017934020944,2.628765278553181,,9.840292706307196,40,Fe,1024,0.138671875,2.3070642501203666,P3_mm
alternative_rainfall_windows_station_FE,10,0.01856678991685873,False,27.089642189074947,-14.291593080077503,5.907338391023196,0.6134022016619084,0.03482687417176709,0.5331167484422179,,4.367862716683946,40,TSS,1024,0.57421875,0.47161453921183616,P7_mm
alternative_rainfall_windows_station_FE,10,-0.008657336636252778,False,14.19697946258247,-15.85453594651277,5.907338391023196,0.7594971356798896,0.0269972779904538,-0.3206744264852923,,-1.9736880710818916,40,Turbidity,1024,0.748046875,-0.27285121695299186,P7_mm
alternative_rainfall_windows_station_FE,10,0.009595223932877078,False,10.314595947732252,-5.2547449462781,5.907338391023196,0.5028097554806878,0.01345050779621978,0.7133726159821105,,2.23396954640942,40,Fe,1024,0.47265625,0.6370890175487478,P7_mm
alternative_rainfall_windows_station_FE,10,0.005674750054159884,False,8.345465235987447,-5.258826158668805,5.538204197577624,0.6453394779809457,0.011667316561885686,0.486380053550439,,1.3152335872675724,40,TSS,1024,0.62890625,0.44029476570033504,P14_mm
alternative_rainfall_windows_station_FE,10,0.000836131793486912,False,5.898697890811566,-5.205826699234251,5.538204197577624,0.9338800583765468,0.009632462893725508,0.08680353121646178,,0.19271191153089617,40,Turbidity,1024,0.94140625,0.07628817053126095,P14_mm
alternative_rainfall_windows_station_FE,10,0.007720090284757266,False,6.576884879676603,-2.775177619590874,5.538204197577624,0.3739888952090358,0.007986016933471013,0.9667009660849586,,1.7935101186901337,40,Fe,1024,0.359375,0.8712115363386348,P14_mm
alternative_rainfall_windows_station_FE,10,0.08292412728178591,False,58.77922109089433,-7.731260552300179,5.185157393600411,0.13150734266635866,0.046346642674212186,1.7892154101579805,,21.038665642613765,40,TSS,1024,0.1171875,1.5860587221312072,Rmax7_mm
